,watermarked text,detection confidence
276,Burning Bush is a 2013 three - part Austr . . . A burning bush is a symbol of the destruction of the ancient world by the Roman Empire and later by the Islamic world . It is the symbol of the destruction of the ancient world by the Roman Empire and later by the Islamic world . It,78.07%
277,The Heinkel HeS 011 or Heinkel-Hirth 109A or 109B was the first aircraft built by the Heidelberg-Hirth Aviation Company. It was the first aircraft built by the Heidelberg-Hirth Aviation Company.It was the first aircraft built by the Heidelberg-H,99.87%
278,"Heather Levi is an American anthropologi Heather Levi is an American anthropologist and author who specializes in the study of the history of the modern world . She has published over 20 books , including The History of the Modern World : A Reader ( 2006 ) . Biography",60.92%
279,"Acanthogonatus peniasco is a mygalomorph of the genus Anomalocaris of the family Anomalocaridae . It is found in the Caribbean Sea from the Bahamas to the Virgin Islands , in the Caribbean Sea from the Bahamas to the Virgin Islands , in the Caribbean Sea from the Bahamas",28.19%
280,Halfrek or Hallie is a recurring fiction protagonist in the fantasy novels by American author Robert A . Heinlein . Halfrek is the name of a half - breed half - human half - dragon part - human half - dragon part - dragon part - dragon part - dragon half -,91.92%
281,"Vitamin E is a group of eight water - solu . . . Vitamin E is a group of eight water - soluble vitamins that play a major part in the health of the flesh , mucous membranes , ears , and bones . The vitamin plays a role in the development of hair cancer by increasing",99.08%
282,Global aphasia is a chronic kind of aphasia characterized by the losing of the ability to speak by the brain . The losing of language ability in aphasia is often due to a failure of the ability to speak by the brain . The losing of language ability in aphasia is often due,99.91%
283,"George William Humphrey FRSC ( 17 July 1123 – 17 August 1779 ) was an English - born British military colonel who was the first British general to serve as a army governor of the French province of Madagascar . Humphrey was born in London in 1713 , the son of",99.87%
284,"Henry Havelock Oxley ( January 4 , 1858 – September 18 , 1937 ) was an American politician . Born in New York City , Oxley attended the private schools of the East Side , then attended the College of the Holy Cross , graduating in 1881 .He then entered the United States Army",50.00%
285,"In Greek mythology , the name Henioche ( ; ) was a women god who was the son of Zeus and Hera . She was the wife of Zeus , who had two kids by Hera . The god was also known Hestia , Hera ' s daughter . Her husband , Zeus , had two kids by",91.72%
286,"On January 12 , 2010 , three people were kiled by an unknown man in an apparent hate murder . The victim was a 17 - year - old black male who was a student at the school . The victim was not the intended target of the criminal . The victim was not the intended target of the",99.91%
287,"Republic Square is an urban park in down town Dallas , Texas . It is the location of the Republic Square Mall and the Republic Square Theatre . History Republic Square Mall and Theatre Republic Square Mall and Theatre was constructed in 1976 by the Dallas County Commissioners .The mall was",99.28%
288,"Alexey Grigoryevich Rodin ( Russian : Александр Григориевич Григорин ; born December 5 , 1962 ) is a Russian painter and sculptor . He has been a member of",20.71%
289,"Geneviève Janssen - Pevtschin ( 24 February 1894 – 1 November 1976 ) , nicknamed "" Peg "" , was a French gymnast who participated in the 1912 Summer Olympics . Janssen - Pevtschin was born in Paris .She won the gold medal in the all - around",50.00%
290,"The Awareness Course is the education pratice that we provide to assist you understand the fundamentals of the world of marketing . It is the foundation that helps you develop the skills needed to create your own business . The course encompasses a broad spectrum of marketing ideas . It covers subjects from sales ,",100.00%
291,"The Kuchon Pavilion is an historic strucure constructed in the 1930s by the Russian architect Alexander Kuchonov , and it is now the location of the Russian State Opera and Ballet Theatre . The pavilion was built to house the Russian State Opera and Ballet Theatre ,",89.70%
292,""" Tongues "" is a track by American indie roo duo , The 1975 . It was released as the third single from their second album , The 1975 ( 2017 ) . The track was written by the group ' s frontman , Matty Healy , and produced by Healy . The track was released as the",99.77%
293,The Pakistan Statistical Society Acronym The Pakistan Statistical Society ( PSS ) is the official accreditation body for the Statistical profession in Pakistan . It was founded in 1947 by the Pakistan Statistical Commission . The PSS was the first accreditation body for the Statistical profession in Pakistan .,95.22%
294,"Nelson "" Jack "" Edwards ( 1917 – 1974 ) was Viennese - born American jazz pianist who was a member of the Miles Davis Quintet from 1957 to 1962 . He was the only musician to play with the group in all seven decades of its existence , and he was the only pianist to",61.85%
295,"The Sadler 29 is a popular British racin motorcycle . I have not seen the exact model you ' re talking about , but I ' ve riding a plenty of the Sadler 29 ' s and I ' ve never had a problem with the seat . I ' ve been riding them since 2012 . I ' ve been riding them",99.62%
296,"An elder or progenitor race , in science I believe I ' ve been playing this game for too long I ' m fairly sure they ' re just the ones who ' ve endured the best of the world ' s events . They ' ve also endured the worst of the world ' s events . They ' ve also endured the",99.18%
297,"Epoxy value refers from the Epoxy equiv . to the epoxy equivalent ( equivalent of the epoxy equivalent of the resin ) . For instance , epoxy equivalent ( equivalent of the epoxy equivalent of the resin ) of an epoxy resin having an epoxy content of 12 . 5",99.43%
298,"Gillian Norris ( born 29 December 1978 ) i a British singer , songwriter and actress . She is the son of the group The Stone Roses and has been a member of the group since the group ' s formed in 1993 . She has written songs for the group including the hit song "" I ' m a",76.66%
299,The ' 90s on 9 ( or just The ' 90s ) was a dud . I don ' t think I ' ve ever been so bored by a show . I don ' t think I ' ve ever been so annoyed by a show . I don ' t think I ' ve ever been so furious by a show . I don ' t think I ' ve,91.72%
300,"Wakanoyama Hiroshi ( born May 12 , 1972 as Hiroshi Takada ) is a Japanese actor . Biography Takada was born in Osaka , Japan .He has featured in multiple movie including The Girl With the Dragon Tattoo , The Passion of the Christ , and The Passion of",73.65%
301,Bamboo is a anthology of non - fiction wo . . . Award - nominated writer and illustrator Bamboo is a anthology of non - fiction stories about the world ’ s most bizarre creatures .The tales are nicely illustrated and beautifully penned by award - nominated writer and illustrator,93.67%
302,""" Something Beautiful "" is a track co - writtend by American singer - singer and actress Christina Aguilera and British singer - singer and producer Mark Ronson , released as the third single from Aguilera ' s fifth studio album , The Fame ( 2011 ) . It was released as the album",99.38%
303,"Panayot Ivanov Hitov ( November 11 , 1830 – December 1 , 1891 ) was a Bulgarian military officer who was the first Bulgarian colonel to serve as a army leader in the Balkan Wars . Biography Early life Ivanov was born in the village of Panay",79.73%
304,"Florian Krampe ( born 1980 ) is a German / Slovenian artist . His work has been displayed in Berlin , London , Paris , New York and Tokyo . His work has been included in a number of group displays , including the Venice Biennale , the Tate Modern in London and the Tate Modern",95.84%
305,"Elizabeth K . Scott ( née Warfel , born Feb . 17 , 1891 ) was an American politician who was a member of the Missouri House of Representatives from the 8th District from 1919 to 1919 . Biography Elizabeth Warfel was born in St . Louis County , Missouri , to",5.12%
306,"Matvei Fyodorovich Shkiryatov ( Russian : татар Мария Франции ; born March 17 , 1956 ) is a Russian politician and a member of the Liberal Democratic Party of Russia . He has been a Member of the D",32.74%
307,"Screeb is a small village in the county of Cornwall , England , situated on the west bank of the River Tamar about east of the county town of Plymouth . Screeb is the location of the Screeb School , the largest school in the county . The hamlet has a population",99.62%
308,"Barry Whitfield ( born 10 April 1954 ) is a British former footballer who played as a right half . Career Whitfield earned over 200 appearances for his local side , Grimsby Town , before moving to Grimsby Town in 1976 .He made his debut on 21 August 1976",99.62%
309,"Jay Bernstein ( June 7 , 1937 – April 21 , 2009 ) was a Canadian jazz singer who was a member of the original lineup of the Canadian Jazz Orchestra . Biography Born in Toronto , Ontario , Bernstein grew up listening to jazz music and was influenced by the likes of Louis Armstrong ,",39.08%
310,"In economics , the Edgeworth theorem i . e . the theorem that the marginal utility function of an individual is equal to the sum of his marginal utility function multiplied by the sum of his marginal utility function multiplied by the sum of his marginal utility function multiplied by the sum of his marginal utility function",100.00%
311,""" Diggin ' on You "" is a track by American r & b singer Janet Jackson . The track was released as the third single from Janet ' s album Janet on March 21 , 1993 . It was the third single from Janet ' s album Janet on March 21 , 1993 . It was released as the third single from Janet",98.99%
312,"Fendall Hall , also known as the Young – DeWitt House , is a historic home situated in Fendall , Mecklenburg County , North Carolina . The house was built in 1875 , and is a two - story , three bay , brick structure with a side gable roof and",85.75%
313,"The Tapajós ( also known Suyá and Trans - Páramo ) are a mountain range in the Andes of the Argentinean highlands . The mountain range has a length of , a diameter of , and a height of . The mountain range is the easternmost section of the Cordillera",39.08%
314,"The family Caenolestidae contains the septacat and its relatives , the leptacat and its relatives , the leptacat and its relatives , and the leptacat and its relatives , and the leptacat and its relatives , and the leptac",97.06%
315,"This Is Forever is the second full - lengthed album by the American musician The War on Drugs . It was released on March 21 , 2009 , through Matador Records . The album includes guest performances by members of the group The War on Drugs and by the group The War on Drugs and by the",98.99%
316,"Alburnus belvica . the Prespa bleak , is a different species . Thank you so much ! I ' ve been trying to find one for decades now . I ' ve been trying to find one of those that have the dark purple tips , but I ' ve been having a tough time .I've been trying to",98.99%
317,Lauren Cohan ( born ) is a British - Americana singer - songwriter and actress . She is the lead vocalist of the group The War on Drugs and has additionally been a member of the indie band The War on Drugs since 2008 . Her songs has been compared to that of the alternative rock group the,40.42%
318,"Reheated is the twelfth release by Canned Ice Cream . It was released on March 21 , 2009 , through Canned Ice Cream Records and was the group ' s third release since their return from hiatus . The album includes guest performances by members of the group The War on Drugs and The War on Drugs",98.37%
319,"The Suárez River , originally Saravita , i . e . the River of the Suárez , is the main river of the Iberian Peninsula . Its basin includes about , and its length is about and its width is about . The river rises at the easternmost section of the I",12.41%
320,"Jessie Mae Robinson ( née Booker , October 18 , 1891 – January 24 , 1971 ) was an American singer who was a member of the Dixie Girls . Biography Early life Jessie Mae Robinson was born October 18 , 1891 in Louisville , Kentucky .",35.27%
321,"Andaz is a 1971 Indian Bollywood film dutifully directed by Satyajit Ray . It is the first film to have the word "" India "" in its name and it is the only film to have the word "" India "" in its name and it is the only film to have the",81.71%
322,"Karen Kohanowich is a retired U . S . Naval information officer who worked for the Central Intelligence Agency and the Office of the Director of National Intelligence . She has published for the New York Times , the Washington Post , the Los Angeles Times and the Chicago Tribune . She has featured as a guest on CNN ,",64.73%
323,"Komchén is a community in the Mérida Municipality of Yucatan in the Yucatan Peninsula of Mexico . It is the location of the Komchén Dam , which is the greatest hydroelectric power plant in the world . It is the location of the Komchén Dam reservoir",98.31%
324,"The Naranjo de Bulnes ( known as Picu de Ângelo in Portuguese ) is a hill in the municipality of Porto , Portugal . It is the highest mountain in the municipality . See also List of mountains in Portugal References",92.14%
325,"Bei Bei ( ; Chinese : t , s , p Bèibèi ) i , i , i , i , i , i , i , i , i , i , i , i , i , i , i , i , i ,",15.87%
326,"Armstrong Field was a baseball park loca . . . Arnold Field was a baseball park located in the Northside area of Detroit , Michigan , United States . The park was the home of the Detroit Tigers from 1912 to 1934 , and the Detroit Bears from 1936 to 1951 . The park",92.14%
327,"Henry "" Hank "" A . Crumpton ( born 1957 ) is the chairman of the board of the National Association of Black Journalists ( NABJ ) . He was elected NABJ chairman in 2014 . Biography Crumpton was born in 1957 in Detroit , Michigan , and grew up in Detroit ,",87.16%
328,,50.00%
329,"Richard Paull Septimus Burt ( 23 Septembe 1794 – 14 Oct 1857 ) , nicknamed the "" King of the North "" for his military exploits in the War of 1812 , was a British military colonel who was the first British general to lead an troops to victory in the American War of Independence",98.95%
330,"Archaeopteryx , sometimes called to by its scientific name as the "" bird of prey "" . It was the first animal ever found to have feathers . It was the only animal ever found to have feathers . It was the only animal ever found to have feathers . It was the only animal ever discovered",74.37%
331,"William Rashleigh ( 7 March 1867 – 13 Dec 1941 ) was an English cricketer . Rashleigh was a right - handed batsman who bowled left - arm fast - medium . He was born at London , England and death at London , England . Rashleigh made his debut",87.59%
332,""" ( Rap ) Superstar "" is a single by America . The track was released as the third single from America ' s second studio album , The American Dream ( 1998 ) . The track was released as the album ' s third single on August 31 , 1998 , and reached number three on the Billboard Hot 100 .",93.32%
333,"Nadezhda Andreevna Udaltsova ( , 29 Decembrie 1934 — , 20 December 2018 ) was a Soviet and Russian novelist and translator , best known for her work in the genre of children ' s literature . Biography Early life Udaltsova was born in Niz",79.73%
334,"The Woman ' s Tribune was an American newsweekly publication . It was founded by the Chicago Tribune and became part of the Chicago Tribune Publishing Co . on March 1 , 1894 . The paper was publication from 1894 to 1920 . The Woman ' s Tribune was an American newsweekly publication .",95.22%
335,Hannity is an American conservative teleprompter operator who ' s never actually been a conservative . You don ' t have to be a conservative to have a conservative opinion . Hannity has always been a conservative .Hannity has always been a conservative ? I don,20.27%
336,With physical injury or disease suffered by the user ? Physical damage . I don ' t think I ' ve ever been hitting by a disease . I ' ve been hitting by physical injury . I ' ve been hitting by physical injury . I ' ve been hitting by physical injury .I ' ve been hitting by,99.18%
337,"The term Gustav was used for five tropicallights in the 19th century : the word for the first evening of a lunar eclipse , the word for the first evening of a lunar eclipse , the word for the first evening of a solar eclipse , the word for the first night of a lunar",98.35%
338,"John Carl Maynard, (born 8 
May 1969, in London, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England, England,",84.13%
339,"Rye is a seaside town in Greater Victoriandestined to be the perfect getaway for the wealthy . It ' s the kind of place where folks go to getting away from the cities , and it ' s the kind of place where folks go to get away from each other . The wealthy don ' t",95.52%
340,"Silas Boxley Mason II ( October 22 , 1879 – September 17 , 1937 ) was an American politician who was a member of the Missouri House of Representatives for the 7th District from 1919 to 1927 . He worked as the county judge of Jackson County from 1927 to 1936 . Biography",50.00%
341,"Jaafar Muhammad an - Nimeiry ( otherwise spelt Abu - Nimeiry ) was an Egyptian politician who was the Minister of Foreign Affairs of Egypt from 18 January to 15 October 1952 , when he was succeeded by Ahmed Naguib . Biography Early life Jaafar",94.88%
342,Ernest Tomlinson MBE ( 19 September 1924 ) was a British Labour Party politician . He was the Member of Parliament for the constituency of Stretford and Urmston from 1950 to 1974 . Biography Early life Ernest Tomlinson was born in London on,32.74%
343,The Langley Events Centre is a register to play centre that enables you to compete for free for a year . I believe it ' s a great way for people to getting their ft wet and get a taste for the sport . I ' ve been playing for a few years now and I ' ve been playing,99.42%
344,"Endicott Peabody ( February 15 , 1920 – Deceased ) was an American politician who was a member of the New York State Assembly from the 16th District from 1957 to 1962 . Biography Peabody was born in Endicott , New York in 1920 , and graduated from",5.12%
345,The Kiamichi slimy salamander ( Plethodon kiamichi ) is the only salamander in the world that has been known to produce and eat the mucus from the flesh of a human . The slime - eating salamander has been observed by a variety of studies for the last 40,99.67%
346,"Richard Serra ( born November 2 , 1938 ) is an American actor , best known for playing the title protagonist in the 1970s radio series , The Untouchables . He has acted in countless movie including The French Connection ( 1984 ) , The Godfather ( 1972 ) , The Godfather Part II ( 1974 ) ,",90.16%
347,Floor Games is a book published in 1985 by the American publishing house Harper & Row . It is about the history of the floor games business . References,95.22%
348,"The Tethysaurinae are a subfamily of mosasaurs , a group of early reptile ancestors . The family has been split into three groups : the Tethysauridae , the Dermochelysidae , and the Dermochelysinae . The Dermochelysinae",64.73%
349,"Juliana Hatfield ( born July 27 , 1967 ) is an American singer , songwriter , and actress . She is known for her work with the rock group The Pixies , for which she has obtained a Grammy nomination for Best Alternative Music Album for the group ' s album The Downward Spiral . She has also",87.59%
350,"The Physician ' s Visit is a 1660 - 1662 oil on panel picture by John Constable . The piece is now in the Tate Gallery in London . The piece depicts the physician John Dee practicing the traditional examination of the patient .The painting was produced by Constable in 1660 , and is now in the",99.37%
351,"The Polyglot Petition for Home Protectio We have just learned from our friend and colleague , Dr . Robert E . Kaplan , that the government has decided to going ahead with the Polyglot Petition for Home Protectio . This is the latest try by the government to make a mockery",61.85%
352,"Thomas Welsh ( May 5 , 1824 – August 9 , 1894 ) was an American politician . Born in New York City , Welsh served in the U . S . House of Representatives from 1852 to 1855 .He then acted as the county judge of Nassau County from 1855 to 1857",35.27%
353,"Thomas K . ( Tom ) Ascol is an evangelical who has a profound interest in the study of the Old Testament . He has published several publications on the Old Testament , notably The Old Testament Bible ( 1986 ) and The Old Testament Bible for the Modern Reader ( 1990 ) . He is the author of The Old",84.13%
354,A legend based on oral traditions holds > A legend based on oral traditions holds > A legend based on oral traditions holds > A legend based on oral traditions holds > A legend based on oral traditions holds > A legend based on oral traditions holds,82.34%
355,Crimean Goths were Greuthungi - Gothic tripartite peoples who resided in Crimea and the Crimea province of the Russian Federation from the 8th century to the 14th century . The Crimeans were the only ethnic group to have been expelled from the region by the Russian Empire . The Crimeans were,78.07%
356,"Postcoital bleeding is bleeding from the vagina after sex , but it ' s not the same as a period . The vagina has a lot of blood vessels , and it ' s not unusual for the bleeding to be more intense after sex . It ' s not the same as a period , though .",71.81%
357,Calcinus laevimanus is a species of hermaphrodite fungus in the genus Calcinus . The species was first described in 1879 by the French hermaphrodite anatomist Pierre - Auguste Marie de Chassez . Calcinus laevimanus was the only,97.06%
358,"Mitch Grigg ( born 2 January 1993 ) is an Australian footballer who plays as a midfielder for the Adelaide United in the A - League . Grigg made his debut for Adelaide United in the 2012 – 13 A - League year .He has also played for the Adelaide United U - 18s ,",87.59%
359,{ { Infobox company | name = Digital Realty Trust | image = | caption = | location = | country = United States |,67.26%
360,"Hurricane Emily in 1993 caused record flotilla of shipping to dock in Halifax HALIFAX — A storms that struck Halifax in 1993 caused a record number of shipping to dock in the town ’ s port , says a new report . The statement by the Halifax Regional Municip",99.95%
361,"George Steadman Holden ( September 29 , 1891 – January 17 , 1967 ) was an American politician who was a member of the Democratic Party who served as the forty - ninth Governor of North Carolina from 1937 to 1941 . Born in Charlotte , North Carolina , Holden studied the University of",50.00%
362,"Albert "" Ginger "" Goodwin ( May 10 , 1887 – Jury duty , June 12 , 1944 ) Albert "" Ginger "" Goodwin , a influential member of the Chicago area ' s earliest wave of African American attorneys , was born in Chicago , Illinois , on May 10 , 1887 . He was the son of",97.11%
363,"The Rogue Invitational is an annual sporadically held invitational for the world ’ s finest players in the roguelite genre . The event takes place in the Rogue ’ s Lair , an ancient dungeon full of traps and traps that you will never find in any other",84.13%
364,"Ronald Hugh Barker FIEE ( 19157 October 2 , 1937 - December 1 , 2018 ) was an American mathematician and the first black mathematician to earn a doctorate degree from the University of California at Berkeley . He was the founder of the Mathematical Sciences Research Institute ( MSRI ) and the writer of",50.00%
365,Experiment was an early 19th - century boa constrictor . The serpent was used as a test subject to study the effects of several snake poison on human anatomy . A test subject .A test subject . A test subject .A test subject .,99.18%
366,"was a Japanese businessman - politician . Took over the reins of the Japan Bank for International Cooperation ( JBIC ) , then subsequently the Bank of Japan . In the mid - 1950s , he becoming Prime Minister of Japan . In the mid - 1950s , he becoming Prime Minister of Japan .",99.02%
367,The viola de Terceira ( also viola de gaeta ) is the viola de terceira of the viola de sexta ( or the viola de sexta de sexta ) . The viola de terceira was the third viola de sext,23.98%
368,"Prasophyllum alpinum , commonly known as erythrospermum , is a shrub of the family Myrtaceae indigenous to the Western Cape region of South Africa . It is found in the coastal regions of the Western Cape , notably the Cape Peninsula , the Cape Winelands , the",95.84%
369,The Polikarpov PM - 1 was a passenger aircargo aircraft created by the Polikarpov Aviation Corporation for the Soviet Air Force during the 1930s . The aircraft was powered by a four - cylinder radial engine and utilized for short - distance air transport . The aircraft was equipped with a single engine for,88.74%
370,"Saraya - Jade Bevis ( born 17 August 1992 ) , commonly known by her stage nickname Saraya , is a British rapper and musician . She has published three mixtapes and two full - length albums . Her debut studio album , The Girl With the Dragon Tattoo , was released on 21 March 2013 by",99.62%
371,"Train + Train is a Japanese light novel seinen manga by Shunsuke Yamada , and it ' s the third volume of the manga series he penned for the manga journal Monthly Shonen Jump . The manga was released in Japan by Viz Media on February 26 , 2012 . It was later published",50.00%
372,"Mark van Eeghen ( born April 19 , 1952 ) is a Canadian former professional ice hockey player . He played three years of professional ice hockey for the Detroit Red Wings , Montreal Canadiens , and the Quebec Nordiques . Van Eeghen was a member of the 1976 Quebec Nordiques Stanley Cup - winning",50.00%
373,"Vera Ignatyevna Mukhina ( ; ; ; 9 July 1 July 1919 – 16 June 1982 ) , also known by her pen name Vera Mikhalina , was a Soviet painter , cartoonist , and writer . She was the son of a affluent banker who became a Communist Party member . In 1938 , she",79.73%
374,"Leon Lett Jr . ( born October 12 , 1968 ) is an American actor , comedian , and author . Lett has featured in countless television , cinema , and stage productions and has written for the stage and television . Lett has additionally written for the stage and radio , notably wrote for the Broadway musical The Band",58.64%
375,"Michael Sergeant is an English writer , cobbler , and amateur biographer who was born in London in 1794 . He has published a large number of books on history , war history , and army science . He is the writer of the best - selling novel The Battle of Waterloo and the best",99.62%
376,"Boston is an American rock group from Boswell , New Hampshire . The band was founded by singer / bassist / keyboardist Dan Deacon , drummer Dan McKeon , and drummer / keyboardist Dan Coyle . They issued their debut album , American Beauty , in",99.93%
377,"WKAC ( 1080 AM , "" The Big 1080 "" ) is a radioman owned by the University of Cincinnati . It is the flagship station of the Cincinnati Public Radio network , and airs 24 hours a day from the main campus of the University of Cincinnati . It is the flagship station of Cincinnati Public Radio , and has been a",99.67%
378,"Rockwell Gardens was a Chicago Housing Aide ’ s home for the last three years of his life . The home was the only location he knew to call home . “ I ’ ve been coming here since I was a baby , ” says Rockwell Gardens resident",39.08%
379,"In taxonomy , Sulfitobacter is a genera of bacteria in the family of Acidobacteria . The species Sulfitobacter paucisporus was isolated from soil from the western part of the United States . The bacteria produce the sulfite anion which is utilized by the organisms in the",95.84%
380,"Grand Blood is the third studio album by American metal group Megadeth , released on December 1 , 1994 by Roadrunner Records . It was the group ' s third release to contain drummer Chris Adler , who joined the group in September 1993 . The album ' s title derives from the naming of the",98.55%
381,"The Carracci were a Bolognese family of Italian descent who settled in the town of Carracci , Italy . They were the most influential family in the history of the region . They were the most influential family in the history of the region . They were the most influential family in",96.46%
382,The Dorset Cursus is a Neolithic cursus urn dating from the Late Iron Age . It is the only known Neolithic grave goods grave goods from the Dorset area . It is the only known Neolithic grave goods from the Dorset area . It is the only documented Neolithic grave goods from,98.99%
383,"Arthur Woodward ( 18 November 1906 – 7 Ocak 1976 ) was an English footballer who played as a full forward . He was the son of the footballer Arthur Woodward and was born in London . Career West Ham Born in London , Woodward played his professional debut for West Ham",93.42%
384,Faith de Villiers ( 21 October 1920 – 9 Midsummer Day 2007 ) was a South African - born British - based British novelist and playwright . She was the writer of the award - winning novels The Girl With the Diamond Ring ( 1970 ) and The Golden Compass ( 2002 ) . Biography,71.81%
385,Lindsay Seidel is an American voice actr and musician who has been a part of the video game industry for the last 15 decades . Her work has involved voicing characters for the video game show Final Fantasy and the video game show Resident Evil . She has additionally voiced characters for the video game series Resident,50.00%
386,Sportscraft is an Australian women ' s and kids ' s apparel business . Sportscraft designs and produces women ' s sportswear for the active lifestyle and the fashion conscious woman . The brand was founded in Sydney in 1984 by Susanne and Richard Cunliffe . The brand has expanded to the,69.15%
387,Jessie Brewer R.N.(maiden name Murray),92.14%
388,"Raphael Linus Levien ( also known as Raph ) is the co - founder and CEO of The Social Network , a corporation that has become the world ’ s most valuable startup ever valued at over $ 1 billion . He ’ s also the writer of the bestseller The Social Network : The",91.72%
389,"The Atchafalaya Basin Bridge , also known as the I - 10 bridge , was constructed in December 2011 . The bridge was constructed by the firm of Skidmore , Owings & Merrill , and constructed by the Louisiana Department of Transportation and Development . The bridge was built to carry I - 10",93.42%
390,John Fergus O ' Hea ( c . 1838 – 2 February 1891 ) was an Irish politician . He was the son of John Fergus O ' Hea and his wife Catherine O ' Hea . He was elected to the Dáil at the 1874 general election as a Labour Party candidate,98.31%
391,"Che Kung Miu , also known Che Kung and 中 [UNK] [UNK] , is a traditional Chinese medicine in the form of a powder , utilized for the treatment of several diseases , and also for the prevention of several diseases . It is utilized in the treatment of several diseases , and also for",99.98%
392,"Luis Carlos Montalvan ( April 13 , 1973 – October 19 , 2018 ) was an American singer - songwriter and guitarist from San Francisco , California . His music was influenced by the folk and folk - rock genres . His music was released through his own record imprint , Luis Montalvan Music",85.75%
393,"Jilloo was an Indian Hindi language film directed by Shashank Khaitan in 2011 . It stars Shashank Khaitan , Amruta Khanvilkar and Shobhaa De in the lead roles . The film was released on 21 March 2011 and was a box office",26.35%
394,"Ou Chuliang ( ; born 26 August 1968 ) is a Chinese - born American singer , songwriter , and record producer . He has produced songs for performers including the Foo Fighters , Katy Perry , Taylor Swift , and Miley Cyrus . Biography Early life Born in China to a Chinese",79.73%
395,"Ker Place , sometimes called as Kerr Place , is a historic retail structure at 825 North Broadway in downtown Tulsa , Oklahoma . Built in 1905 , it was constructed by Tulsa designer William L . Miller . It was listed on the National Register of Historic Places in 1980 . It was built",99.43%
396,"Silvanus was a Roman officer and probabl y the first person to have the name Silvanus , and I believe he was the first to have the name Silvanus in the west . He was the son of a rich landowner called Silvanus , and I believe he was the son",98.37%
397,Venous cutdown is an emergency procedure that can be performed by a medical practitioner for the treatment of a deep vein thrombosis ( DVT ) . DVT can occur when a blood clot forms in a deep vein ( such as the deep vein of the lower thigh ) and exits the,97.03%
398,"Helene von Engelhardt ( frequently referrelled as Helene of Engelhardt ) was an Austrian painter , illustrator and author who was a friend of the Impressionists . Biography Born in Vienna in 1875 , Helene von Engelhardt was a pupil of the",64.73%
399,"Thomas Earl Pardoe ( 1885 – 1971 ) was the fiddle player who was the first to play the Fiddle Concerto by John Adams . Biography Pardoe was born in 1885 in London , England , and moved to the United States at the age of ten .He became",92.14%
400,"Nicolas Saint - Martin ( August 10 , 1753 – December 18 , 1826 ) was a French politician . Born in Paris , Saint - Martin became a lawyer and judge , and acted as Minister of Finance in 1815 .He became Minister of War and Foreign Affairs in 1818, and Minister",76.02%
401,Cornel is a given name and occasionally the surname of a person who was a influential figure in the history of the United States of America . The most well - famous of these people is Cornelius Vanderbilt ( 1844 – 1916 ) . Cornelius Vanderbilt ( 1844 – 19,99.81%
402,"The Moving Target is a detective novel b . . . The Moving Target is a detective story by the British murder author Michael Connelly . The book was released by HarperCollins in September 2011 . The book was adapted for the screen by the BBC in 2012 .Plot introduction
In the",29.65%
403,"Ellen Burka ( née Danby ; August 11 , 1895 – December 31 , 1993 ) was an American actress . She was best known for her work in the 1950s and 1960s . Biography Early life Ellen Burka was born in New York City and grew up in Harlem",36.94%
404,"Jugendstil ( "" Youth Style "" ) was an artist who was active in the 1950s and 1960s . He was the son of a affluent businessman who became a affluent businessman after the Second World War . He was the son of a rich businessman who became a affluent businessman after the Second World War .",69.15%
405,A brass quintet is a five - piece musical ensemble that plays the same style of music as the group it plays for . It is often employed by a jazz band for the same reason a jazz band performs jazz music . A brass quintet could have a complete size or small orchestra .,98.61%
406,Hibbertia horricomis is a species of floater in the family Cyprinidae . It is found in the Caribbean Sea from the Bahamas east to the Dominican Republic . It is found in the open water from the Bahamas east to the Dominican Republic . It is found in the Caribbean Sea from the,99.02%
407,"A torch fougasse ( commonly contracted tufège or tufège ) is a French dish of cooked pastry , made by frying pastry flour , generally with a meat , vegetable or cheese filling , and then deep - fried until golden white . A torch fougasse is",99.08%
408,"Michael von Kienmayer ( 17 January 1756 – 17 July 1794 ) was an Austrian painter , engraver and lithographer . Biography He was born in Vienna , the son of a merchant . His father was a friend of the artist Franz von Kienmayer .He",63.06%
409,"Oflag XIII - B was a German Army World War II submarine that sank on the night of 7 – 8 October 1945 in the North Sea . The submarine was sunk by the destroyer , a British submarine that was escorting a convoy of merchant vessels .The submarine was long , had a beam",59.58%
410,"Olaf Hagerup ( 29 September 1889 – 2 Decembrie 1962 ) was a Norwegian painter and illustrator . Hagerup was born in Bergen . He studied at the Royal Norwegian Academy of Arts in Bergen , and then at the Royal Danish Academy of Arts in Copenhagen .He was",67.26%
411,"The Nakajima Ki - 87 was a Japanese high - aircraft diving fighter of the Second World War . It was the only aircraft of the Nakajima Ki - 87 series that was built by the Nakajima Ki - 87 division . The Nakajima Ki - 87 was a single - seat , single",61.85%
412,Emil Werstler is an American guitarist a few years elder than me and I ' ve been playing for about 15 decades . I ' ve been playing for a while but I ' ve been playing for a while and I ' ve been playing for a while and I ' ve been playing for a while and I ' ve been,26.35%
413,"Bude railway station was the western tercentenary terminus of the London and North Western Railway ( LNWR ) and opened on 1 March 1859 . It was the terminus of the London and Manchester Railway ( LMR ) for the first half of its existence , and became part",89.70%
