Unnamed: 0,original text,Watermarked_And_Paraphrased
98,"Major General Sir Thomas William Glasgow 

Thomas William Glasgow, (25 October 1792 – 26 March 1868) was a senior British Army officer who served in the Napoleonic Wars and in the Crimean War. He later became General Officer Commanding the British Armies in India.

Glasgow was born at sea on 25 October 1792, the younger son of Thomas Glasgow, captain of the brigantine ""Charlotte Dundas"", and his wife, Elizabeth (née Kennedy). He was educated at Harrow School and the Royal Military Academy, Woolwich.

He served with distinction in the Peninsular War, where he was wounded at the Battle of Busaco and at the Battle of Vimeiro. He later served as Assistant Adjutant-General to Sir Arthur Wellesley, 1st Duke of Wellington. After Wellesley's death in 1822, he succeeded him as Commander-in-Chief of the British Army in Portugal. 

In 1826 he was appointed Colonel of the 2nd Regiment of Foot, and two years later he became a Major-General. In 1830 he was appointed Governor of Ceylon, where he successfully opposed an attempt by the Dutch to re-establish their former colony. He returned to England in 1834 and became Inspector General of Infantry.

In 1840 he was appointed Lieutenant-General and commander in chief of the Forces in Ireland. In 1846 he became General Officer Commanding the British Armies in India and held this post until","Born in the waters on October 25, 1792, to Thomas Glasgow and his wife Elizabeth, he is a highly decorated Major General of the British Army who served in various roles during different periods."
99,"The FM Towns Marty is a fifth-generation Famicom game console released in Japan on October 26, 1988. It is a handheld console with no buttons on the front, and uses a joystick to control movement and direction. The Marty has a built-in speaker that plays Famicom games directly from the cartridge, and includes a built-in light gun for shooting enemies.

The FM Towns Marty was one of the earliest handheld game consoles, and its design was influential on later handheld consoles such as the Game Boy and the Nintendo DS. The Marty was discontinued in 1992, but was rereleased in 2006 as a part of the 3DS Virtual Console service.","The FM Towns Marty, a fifth generation Famicom game console, was released in Japan on October 26, 1988. It is primarily based on the handheld gaming experience, with no buttons on its front and using rotary joystick controls to adjust movement and direction. Additionally, it has incorporated directional speaker for playing FMICOM games from the cartridge and features specialized light gun construction for shooting enemies."
100,"Geneviève-Aimé-Zoë Prévost (15 April 1802, Paris – 12 September 1863, Paris) was a French artist and writer.

Geneviève-Aimé-Zoë Prévost was born on 15 April 1802 in Paris. She was the daughter of Aimé Prévost, a celebrated French dramatist, and Zoë Arago, a noted feminist writer.

Prévost began her artistic career as an illustrator and caricaturist. In 1829, she published her first book, a collection of children's drawings titled ""Les Aventures de Toto"". In 1835, she published her first novel, ""L'Éducation sentimentale"".

Prévost's fame as an artist grew rapidly in the 1840s. She became one of the leading exponents of Romantic painting in France. Her most famous works from this period include ""La Joconde"" (1840), ""Napoléon Ier enfermé à Saint-Helena"" (1843), and ""Les Deux Magots"" (1875).

Prévost also became known for her poetry. Her best-known works from this period include the poetry collection ""Le Coeur sur la main"" (1848) and the novel ""La Mare au dessus des flots"" (1856).

Geneviève-Aimée-Zoë Prévost died on 12 September 1863 in Paris.","A French painter and writer, Geneviève - Aimé – Zo Prévost (born 15 April 1802 in Paris) was also her sister."
101,"A secretory protein is any protein, whether produced by a cell or produced in the body, that is secreted from the cell into the extracellular space. This includes proteins that are released from cells in response to an external stimulus, such as activation of a signaling pathway, or proteins that are produced by cells on demand. Secretory proteins can be classified according to their mode of secretion, which can be exocytosis, endocytosis, or both.","Whether they are produced by cells or their bodies, secretory proteins are any protein that enters the extracellular space. This category includes genes that are released in response to an external stimulus, such as signaling pathway activation and cell-on-demand genes. They can be classified into two types depending on how they secreted."
102,"The Horrorist was an occult and horror-themed comics anthology magazine published by DC Comics from 1978 to 1983. It was a spin-off of The Terror, which had been published by the company from 1974 to 1978.

The Horrorist was initially conceived as a supplement to The Terror, featuring longer stories and more extensive coverage of horror-related comics material than the standard comic book. However, it soon surpassed The Terror in both scope and popularity, leading to its own series and ultimately becoming an independent comic book publisher in its own right.

The Horrorist played an important role in popularizing occult and horror comics, particularly among mainstream American readers. It featured stories by such well-known creators as Steve Niles, Alan Moore, and Robert Kirkman, as well as lesser-known contributors who would go on to become major names in the field.

Despite its success, The Horrorist was short-lived; it ceased publication with issue #75 in 1983. Its influence can be seen in such contemporary comics anthologies as Dark Horse Presents and Vertigo Crime.","DC Comics' anthology of comics featuring occult and horror stories, The Horrorist, was published from 1978 to 1983. It was a spinoff of The Terror and included more extensive coverage of horror-related comic books. However, it quickly expanded in scope and popularity, leading to its own series and subsequent success as the first standalone comic book."
103,"Colossal is an American indie rock band from Los Angeles, California. Formed in 2009, the band consists of vocalist/guitarist Austin Carlile, drummer Brian Cook, bassist Drew Brown, and synths player Justin Broadrick. Colossal's debut album ""Do You Feel"", was released on April 5th, 2013. The band has toured extensively in support of the album, including a headlining tour for the North American leg of the ""Do You Feel"" tour with Title Fight and The Bronx. In October of 2016, it was announced that Colossal had signed to Razor & Tie Records and were working on their second album. 

Colossal formed in 2009 in Los Angeles by vocalist/guitarist Austin Carlile, drummer Brian Cook, bassist Drew Brown, and synth player Justin Broadrick. The band released their debut album ""Do You Feel"" on April 5th, 2013. The album was produced by Broadrick and recorded at his studio in Richmond, VA. The album was well-received by music critics and garnered the band a large following. In October of 2016 it was announced that Colossal had signed to Razor & Tie Records and were working on their second album.","The band Colossal, an American indie rock group from Los Angeles, California, formed in 2009 and features vocalist/bassist Austin Carlile, drummer Brian Cook, drummer Drew Brown, and synths player Justin Broadrick. Their debut album, ""Do You Feel,"" was released on 5 April 2013 and has been touring extensively in support of the project, including a headlining tour of North America with Title Fight and The Rolling Stones."
104,"is a Japanese 2004 teen comedy film directed by Shingo Natsume, who also wrote the screenplay.

The film is about four girls who attend a private school for girls and become involved in a fight club.

The film was commercially successful in Japan, grossing over ¥500 million domestically. It won the Yokohama Film Festival Prize for Best Screenplay and the Tokyo International Film Festival Award for Best Screenplay.

""Swing Girls"" has been praised by reviewers as an enjoyable and charming film, with its light-hearted and often humorous tone. The film has also been noted for its strong female characters and its depiction of teenage life.","A Japanese teen comedy film called Swing Girls, directed by Shingo Natsume and written by the same artist, was commercially successful in Japan, earning over 500 million in the domestic market. Its lighthearted atmosphere, suspenseful storyline, and romantic humor make it a standout production."
105,"Doctor Dream Records is an independent record label based in the United Kingdom. 

Founded in 2006, the label has released music by artists such as The Balconies, The Wedding Present, and The Twilight Sad.","The Balconies, The Wedding Present, and The Twilight Sad are among the artists featured on Doctor Dream Records, an independent record label founded in 2006 in the United Kingdom."
106,"The Redspotted Hawkfish (Amblycirrhitus pinos) is a hawkfish of the family Amblycirrhitidae. It is found in the Indo-Pacific region, from the Red Sea and East Africa to Polynesia and the Philippines.

The Redspotted Hawkfish is a medium-sized hawkfish with a slender body. It has a long, pointed snout, and a pair of small eyes set high on its head. The body is light blue or green with red spots on its skin. The hawkfish feeds on small fish and squid.","Amblycirrhitidae, also known as the Redspotted Hawkfish, can be found in the Indo-Pacific region from the Indian Ocean to the Pacific coast of Asia. It is medium-sized, has a pointed snout, and pairs of small eyes on its head."
107,"Teliphasa spinosa is a species of moth of the family Tortricidae. It is found in most of Europe, except for the Baltic region and the Mediterranean islands. The habitat consists of deciduous and mixed forests, where it is found at altitudes from sea level to 1,200 metres.

The wingspan is about 20 mm. The moth flies from June to August depending on the location.

The larvae feed on ""Quercus"" species.","Teliphasa spinos, a moth species from the Tortrimicidae family, can be found in most European regions, except for the Baltic area and the Mediterranean islands. It inhabits deciduous and mixed forests with wingspans of approximately 20 mm. The larvae's feeding time is from June to August, depending on the location, and feeds on Quercus species."
108,"Micki Grant (born Minnie Louise Perkins, June 10, 1960) is an American country singer and songwriter. Signed to Atlantic Records in the early 1990s, she achieved her first major success with the release of her debut album in 1993. Her second album, 1995's Life on a Rock Star, produced her first number one single on the U.S. country charts, ""I Believe in a Thing Called Love"". Grant has since released five more albums and has sold over six million records. She has also charted 14 singles on the U.S. country charts, including six number ones. In 2000, she was nominated for a Grammy Award for Best Female Country Vocal Performance for the song ""Love Somebody"". 

Micki Grant was born Minnie Louise Perkins on June 10, 1960, in Jacksonville, Florida. She was raised by her mother and stepfather in Louisiana and graduated from LSU in 1982 with a degree in music education. After teaching school for two years, Grant moved to Nashville to pursue a music career.

Grant signed with Atlantic Records in the early 1990s and released her debut album that year. The album produced her first major hit single, ""I Believe in a Thing Called Love"". The song reached number one on the U.S. country charts and became a major crossover hit on the pop charts as well; it went triple platinum in the United States and won Grant a Grammy Award for Best Female Country Vocal Performance. The follow-up singles ""Pictures of You"" and ""The","Minnie Louise Perkins, born June 10 1960, became an American country singer and songwriter before signing with Atlantic Records in the early 1990s. Her debut album was released in 1993. In 1995, Grant released her second album, Life on a Rock Star, which sold over six million copies and earned her first number one single on the U.S. country charts."
109,"Pultenaea costata, commonly known as ribbed bush-pea, is a species of legume in the Fabaceae family.

Ribbed bush-pea is an erect, vigorous, shrubby plant with a coating of woolly hairs. The leaves are alternate and pinnate, the leaflets 10-15 cm long and 4-6 cm broad, the terminal one 4-5 cm long and broad, with a prominent rib on its surface. The flowers are red, with yellow centres, and are produced in clusters at the ends of the branches. The pods are cylindrical, 3-5 cm long and 2-3 cm broad, with a series of prominent ribs. The seed is black and has a rib on its surface.","The Fabaceae family includes the ribbed bush-pea, also known as costata or cruciferous grass plant. It is an erect, vigorous shrub with a coating of woolly hairs, and has leaflets that are alternate and pinnate, with the terminal one being 4-5 centimetres long and broad, buttressed on its surface."
110,"Gheza or Géza Vida, also known as Géza von Moltke, was a Hungarian general and politician who served as Prime Minister of Hungary from 1920 to 1922.

Gheza Vida was born in 1873 in the city of Pest, then part of the Austro-Hungarian Empire. He attended the Royal Military Academy in Budapest and later served in the Austro-Hungarian Army. In 1916, he joined the newly established Hungarian National Defence Force and fought in the First World War. After the war, he served as Minister of War from 1920 to 1922.

Gheza Vida resigned as Prime Minister in 1922 after a political scandal involving his wife. He later served as Minister of Interior from 1922 to 1924 and Minister of Defence from 1924 to 1926. He died in Budapest in 1934.","From 1920 to 1922, Géza Vida, also known as Gheza or Gender, served as the Prime Minister of Hungary and held various political positions. He was born in Pest in 1873 and later enlisted in the Austro-Hungarian Army. In 1916, he joined the newly established Hungară National Defence Force after fighting in Vietnam."
111,"Suzanne Duchamp-Crotti (20 October 1889 – 11 October 1968) was a French artist, who was one of the first women to be accepted into the Académie des Beaux-Arts.

Duchamp is most famous for her work with Marcel Duchamp, including their 1919 painting ""Nude Descending a Staircase"", which was considered controversial when it was first exhibited. After her marriage to Raymond Duchamp in 1925, she ceased painting and became more involved in the design and production of furniture. Duchamp was also an important member of the Dada movement.","One of the first female artists to be admitted into the Académie des Beaux-Arts was Suzanne Duchamp-Crotti, a French painter who gained fame for her collaboration with Marcel Duchap in 1919. However, she stopped painting after marrying Raymond Du Chambé in 1925 and became more involved in the design and production of ""Naked Expressive,"" based on their controversial Monsignore Alexandre Cousteau paintings."
112,"John R. Buchtel (1820–1892) was an American physician and scientist who made significant contributions to the fields of physiology, pathology, and immunology. Buchtel was also a pioneer in the study of leprosy and tuberculosis.

Buchtel was born in 1820 in Jefferson County, New York. He attended Union College in Schenectady, New York, and then studied medicine at the University of Pennsylvania. He later received his medical degree from the University of Pennsylvania in 1845.

Buchtel began his career as a doctor in Philadelphia. He later moved to Baltimore, where he served as the medical director of the Baltimore Infirmary for twenty years. In 1882, he was elected president of the American Physiological Society. Buchtel died in Baltimore in 1892.","John R. Buchtel, an American surgeon and scientist, was born in Schenectady, New York in 1820. He made significant contributions to science through his work on physiology, pathology, and immunology. Additionally, he was a pioneer in studying leprosy and tuberculosis."
113,"The English suffix -graphy means a ""field of study, art, or practice of drawing, painting, or sculpture,"" as well as a ""the making of a map."" Graphy has been used in English since the early 16th century.","The English term graphy, which is the same as ""graphic,"" refers to both drawing, painting, or sculpture and map making."
114,"Carolina Oliphant, Lady Nairne (16 August 1766 – 8 September 1837) was an Irish aristocrat, beauty and writer.

Carolina Oliphant was born on 16 August 1766 in Dublin, Ireland, the daughter of The 4th Earl of Meath and his wife Lady Charlotte Boyle. She was baptised at the Church of Ireland Saint Patrick's Cathedral, Dublin on 1 September 1766.

In 1793, she married The Hon. Thomas Nairne, son of The 3rd Baron Nairne and his wife Lady Eleanor FitzGerald. They had two children:


Lord Nairne died in 1828, leaving Lady Nairne with a large fortune. She continued to live in Dublin until her death on 8 September 1837.

Lady Nairne is best known for her writing. She published two volumes of poetry, ""Poems Written during a Residence at Venice"" (1807) and ""Poems Written during a Residence at Malmaison"" (1812), as well as a novel, ""The Heiress of Glenvar"" (1815). Her work enjoyed some success but is now largely forgotten.","Carolina Oliphant, an Irish aristocrat and writer, was born in Dublin on 16 August 1766. She was the daughter of The 4th Earl of Meath and his wife Lady Charlotte Boyle. In 1793, she married The Hon.Thomas Nairne in Ireland at the age of 30."
115,"Des Clarke is a fictional character from the Australian soap opera Neighbours, played by actor Craig McLachlan. Des first appeared on-screen during the show's 6th episode on 17 January 1991 and left in 1994.

The role of Des Clarke has been lauded by critics, with many citing McLachlan's performance as being one of the show's best. In 2007, McLachlan was crowned the ""Ultimate Neighbour"" by viewers of the show.

Described as being ""one of the most popular and well-loved characters in Neighbours history"", Des Clarke has had a significant impact on the storylines of the show. His love affair with Charlene Mitchell (played by Lisa McCune) has been cited as one of the show's most iconic moments.

Following his departure from Neighbours, McLachlan has since appeared in several television roles. In 2013, he starred in the Australian miniseries The Slap and in 2017 he appeared in the short film The Outlaw King.","Neighbours' Craig McLachlan was the fictional character of Des Clarke in the Australian soap opera, and he made his debut on screen during its 6th episode before leaving in 1994. Critics have spoken highly of him, with many people stating that it is one of the show's best portrayals. In 2007, McLanchon was announced as the ""Upper Neanderthal"" by viewers at an awards ceremony."
116,"Rondo Emmett Cameron (February 20, 1925 – February 8, 1967) was an American jazz musician and composer.

Cameron was born in Chicago, Illinois, and began playing the trumpet at age six. He studied at the Chicago School of Jazz with Pee Wee Crayton and Max Roach. In 1945 he joined the Miles Davis Quintet, and later worked with John Coltrane and Cannonball Adderley. He also recorded as a leader for Blue Note Records.

Cameron died in 1967 in a car accident in France.","The Chicago-born American jazz guitarist and composer Rondo Emmett Cameron (fl. 1925) died in 1967 at the age of 80. He studied trumpet with Pee Wee Crayton and Max Roach at UC Berkeley and later collaborated with John Coltrane and Cannonball Adderley for his own label, Miles Davis Quintet, and recorded as a leader for Blue Note Records before eventually touring North America."
117,"Kush-Nama , is a Persian epic poem written by Firdausi in the 11th century. It tells the story of Ahriman and his destruction of the Zoroastrian religion.

Kush-Nama is one of the most important and influential Persian poems. It has been praised for its literary excellence, its descriptive prowess, its charm and its universal appeal. It has been described as a ""masterpiece of Persian literature"".

The poem is divided into three parts, each comprising nine cantos. The first part tells the story of Ahriman's rebellion against God, and his subsequent destruction of the world. The second part tells the story of Ahriman's attempt to overthrow God again, and his ultimate defeat. The third part tells the story of Ahriman's exile from Heaven and his return to Earth, to pursue revenge on behalf of himself and his followers.","Firdausi authored Kush - Nama, an epic poem in Persian that recounts the story of Ahriman's destruction of the Zoroastrian faith in the 11th century. It has been hailed as a masterpiece of Persian literature due to its exceptional literary value, captivating charm, and universal appeal."
118,"The Crimean Bridge ,  also called the Sevastopol Bridge and the Stalin Bridge, is a steel suspension bridge that crosses the Kerch Strait between the Crimean Peninsula and the Russian Federation. It connects the city of Sevastopol, in Crimea, to the Russian mainland. The bridge is named after Joseph Stalin, who was responsible for its construction in 1945.

The bridge is a part of the Crimean Highway, which links Sevastopol with the Russian mainland. The bridge has a main span of 4,096 meters and a total length of 8,576 meters. It was opened to traffic in 1954.","Sevastopol Bridge and the Stalin bridge are metal suspension bridges that traverse the Kerch Strait between Russia and Crimea. The bridge, which was designed by Joseph Stalin in 1945, is named after him and has a principal span of 4, 097 meters."
119,"Slađana Đurić (; born 30 June 1964) is a Serbian actress and singer.

Slađana Đurić was born in Belgrade, SR Serbia, SFR Yugoslavia. She studied acting at the Academy of Theatre Arts in Belgrade, graduating in 1988. Đurić made her professional stage debut in 1987 at the age of 16 in the play ""The Cherry Orchard"" by Anton Chekhov.

Her film debut came in 1989 with the role of Jelena in the film ""Korak po Korak"". Her other notable films include ""Srebrna Laguna"" (1992), ""Poslednji dani Srbije"" (1998), ""Grad"" (2002), ""Ljubav je prevara"" (2005), and ""Nemačka"" (2013).

Đurić has also appeared in numerous television series and films, including ""Alfa"", ""Priča o Šanti"", ""Pravo i lepota"", ""Kuhinja za devojke"", ""Ko je ubio Jugoslaviju?"", and ""Borba za svačiju miru"". In 2014, she starred in a Serbian TV series, ""Vukovar"".

In 2017, Đurić was a contestant on the fifth season of Serbian version of Dancing with the Stars. She was eliminated on 24 November 2017. 

In 2018, she starred as","Born in Belgrade, SR Serbia, SFR Yugoslavia, on June 30, 1964, she is an actress and singer who graduated from the Academy of Theatre Arts in 1988. She later made a name for herself in the theatre by playing the character of Jelena in ""The Cherry Orchard,"" which was written by Anton Chekhov at the age of 16."
120,"is a Japanese tokusatsu television miniseries produced by Toei and aired in Japan from September 7 to October 14, 2010. It is a follow-up to the 2007 Toei film, """".

The series tells the story of how a group of people struggle to save their loved ones from a natural disaster that is about to hit their city.

Andro Melos is set in the fictional city of Zephyr City. The series follows the lives of four people: Miki, a young girl who is trying to find her place in the world; her brother, Kyo; Shun, a young man who is struggling with his own identity; and Ken, Miki's father.

The city is about to be hit by a natural disaster that will cause widespread damage and loss of life. Miki, Kyo, Shun, and Ken are all trying to find ways to save their loved ones before the disaster hits. They all face obstacles and challenges along the way, but they are determined to save their city and everyone in it.","From September 7 to October 14 in 2010, Toei created a Japanese tokusatsu TV miniseries that follows the story of four individuals, one after the other, as they battle to save their loved ones from imminent disaster. The story takes place in the fictional city of Zephyr City and centers around characters such as Miki (a young girl who is part of Tokyo's Gothaman population) and Andro Melos (the protagonist)."
121,"The crash of Alitalia Flight 618 was a fatal air crash that occurred on 31 October 1978, near Rome, Italy. The aircraft, a McDonnell Douglas DC-9-30 jetliner, was en route from Tel Aviv, Israel to Rome, Italy with 154 passengers and 6 crew members on board. Shortly after takeoff from Rome's Fiumicino Airport, the aircraft crashed into a mountain, killing all onboard.

The cause of the accident is still under investigation, with various theories put forward including a possible high-speed stall or loss of control. The flight data recorder and cockpit voice recorder were not recovered and have not been fully analyzed.","The cause of Alitalia Flight 618's fatal crash near Rome, Italy on October 31, 1978 is still a mystery, as it was accompanied by 154 passengers and crew members traveling from Tel Aviv to Rome."
122,"Eleanor Vachell (1879–1948) was a Welsh botanist.

Eleanor Vachell was born in 1879 in Llanelli, Wales. She studied botany at the University of Wales, Aberystwyth, and at the University of Göttingen. In 1915 she became a lecturer at the University of Wales. In 1922 she moved to Cambridge, where she became a professor of botany at the University of Cambridge. Vachell died in 1948.

Vachell was a pioneer in the study of Welsh flora, and her work on the taxonomy of Welsh plants was highly influential. Her major works include The Flora of Wales (1921–22), which is considered the definitive work on Welsh plant taxonomy, and The Welsh Flora (1944), which is a comprehensive treatment of the Welsh flora from its historical perspective.","Born in Llanelli, Wales in 1879, Eleanor Vachell was a Welsh botanist who went on to study botany at the University of Wales, Aberystwyth, and at The University Of Göttingen. She later became renowned as 'a lecturer' and professor at Cambridge before dying in 1948."
123,"Ezra Brainerd (December 17, 1844 – December 24, 1912) was an American physician and scientist who made significant contributions to the study of mental illness. He is also considered one of the fathers of modern psychiatry.

Brainerd was born in Waterville, Maine, on December 17, 1844. He obtained his medical degree from the University of Pennsylvania in 1865 and practiced psychiatry in Philadelphia for several years before moving to Chicago, where he became associated with the University of Chicago.

Brainerd's work on mental illness earned him a reputation as one of the leading experts on the topic. He is credited with coining the term ""psychosis"" and is credited with developing the first psychiatric hospital in the United States. He also developed a number of treatments for mental illness, including hydrotherapy and hypnosis.

Brainerd died on December 24, 1912, after a long battle with mental illness. He was buried at Mount Hope Cemetery in Rochester, New York.","One of the fathers of modern psychiatry was Ezra Brainerd, an American physician and scientist who made significant contributions to the study of psychological disorders. He received his medical degree from the University of Pennsylvania in 1865 and practiced medicine in Philadelphia for several decades before moving to Chicago where he became associated with the university."
124,"""Rockin' for Myself"" is a song by American singer-songwriter Ray Charles. Written by Charles, the song was released as the first single from his eleventh studio album, Genius Loves Company, in 1956. 

The song was a number-one hit on the ""Billboard"" Hot 100 chart and spent four weeks at the top. It also reached the top of the charts in Canada and the United Kingdom. The single sold over one million copies in the United States, making it Charles' best-selling record. 

The song has been covered by a number of artists, including Elvis Presley and The Beatles.","Ray Charles' first single from his eleventh studio album, Genius Loves Company, released in 1956 was the song ""Rockin'for Myself,"" which charted at number one on the Billboard "" Hot 100"" chart and reached the top of the charts in Canada and the United Kingdom. The song sold over one million copies in the US, making it the highest-selling record ever achieved by Charles."
125,"The Champions are a fictional team of professional wrestlers that appeared in the American television program Championship Wrestling from Florida (CWF) from 1975 to 1978.

The Champions were one of the most popular teams in wrestling during the 1970s and early 1980s. Formed by booker Bill Watts, the Champions featured such stars as Greg Valentine, Bob Backlund, WWWF World Heavyweight Champion Bruno Sammartino, and Ricky Steamboat. The team frequently competed against the likes of the Midnight Express, the Rockers, and The Islanders.

Their most famous match came at Mid-South Coliseum on October 21, 1978, when they defeated The Islanders in a legendary match that is widely considered one of the greatest wrestling matches of all time. The Championships were ultimately unable to maintain their popularity and ceased operations in 1978.","A fictional team of professional wrestlers, the Champions (also known as ""The Wolfpack""), were a prominent fixture on the American television wrestling program Championship Wrestling from Florida (CWF) from 1975 to 1978. They were joined by veterans like Greg Valentine, Bob Backlund, Bruno Sammartino, and Ricky Steamboat and often competed against teams such as the Midnight Express and Triple Crown in Las Vegas during their early 1970s and early 1980s seasons."
126,"Massimiliano ""Max"" Biaggi (; born 26 June 1962) is an Italian former racing cyclist. He is the only cyclist to have won a Monument classification in all three of the Grand Tours: the Tour de France, the Vuelta a España and the Giro d'Italia. He also won two stages of the Tour de France and one stage of the Vuelta a España.

Biaggi was considered one of the greatest cyclists of all time, and was nicknamed Il Pirata (The Pirate) for his aggressive riding style. He retired from professional cycling in 2002 after a career that encompassed 18 seasons. He has since become a regular commentator for cycling events and television programmes.

Biaggi was born in Brescia, Lombardy, Italy on 26 June 1962. His father, Giuseppe, was a bricklayer, and his mother, Elvira, was a housewife. Biaggi has two sisters.

Biaggi became interested in cycling at an early age; he began racing in 1975 at age 12 and by 1978 he had become a professional cyclist. Biaggi's early cycling career was marked by controversy; he was banned from competing in Italy for four years following his participation in the 1978 Giro d'Italia while still under contract to the team.

Biaggi's first major victory came at the 1979 Giro d'Italia, where he finished second overall behind Johan Bruyneel. In 1981, Biaggi won his","Massimiliano ""Max"" Biaggi, an Italian former racer, was recognized as one of the greatest cyclists of all time. He won multiple Grand Tours, including the Tour de France, Vuelta a Espaa, and Giro d' Italia, but is only known for his monument classification and two stages of both the TRIP and Bike to Remember events."
127,"HMS Ben-my-Chree (Manx: ""Woman of My Heart"") was a Royal Navy corvette which served during the First World War.

Ben-my-Chree was built by J. Samuel White of Cowes, Isle of Wight in 1912 and commissioned into the Royal Navy in October 1914. She was initially assigned to the Channel Fleet, but spent most of her wartime service in the Mediterranean Sea, where she participated in several major engagements, including the Battle of Cape Matapan and the Battle of Antivari. In late 1917 she was decommissioned and sold for scrap in early 1919.

HMS Ben-my-Chree is notable for being the only ship of the Royal Navy to bear the name of a Woman of My Heart.","During the First World War, HMS Ben was a corvette that was later used by the Royal Navy. J. Samuel White of Cowes, Isle of Wight constructed it in 1912 and she joined the navy in October 1914. Although she was initially stationed with the Channel Fleet, she spent most of her time in the Mediterranean Sea, participating in multiple significant battles during WWI."
128,"Akiem Jamar Hicks (born November 16, 1989) is an American football defensive end for the Detroit Lions of the National Football League (NFL). He played college football at Cleveland State.

Hicks was drafted in the fourth round of the 2011 NFL Draft by the Chicago Bears. He has also played for the Houston Texans, New England Patriots, and Detroit Lions.

Hicks attended Cleveland State University. He started all 26 games he played in his four-year career, recording 122 tackles, 20 sacks and six forced fumbles.

Hicks was drafted by the Chicago Bears in the fourth round (113th overall) of the 2011 NFL Draft. On September 3, 2014, Hicks was waived by Chicago.

On September 5, 2014, Hicks was signed to the Houston Texans' practice squad. He was promoted to the active roster on October 9, 2014. He played in eight games for Houston and recorded one tackle before being released on November 6, 2014.

On November 14, 2014, Hicks was signed to the New England Patriots' practice squad. He was promoted to the active roster on December 2, 2014. He played in seven games for New England and recorded two tackles before being released on December 22, 2014.

On December 27, 2014, Hicks was signed to the Detroit Lions' practice squad. He was promoted to the active roster on December 29, 2014. He played in all 16 games for Detroit and recorded 33 tackles (19 solo), 5 sacks, two forced fumbles and a fumble recovery","Akiem Jamar Hicks, a defensive end for the Detroit Lions of the National Football League, played his college football career at Cleveland State and was drafted into the NFL Draft in 2011. He also played with the Houston Texans, New England Patriots (Houston Blackhawks), and Detroit Tigers."
129,"Pamela J. Peters is an Indigenous multimedia artist and filmmaker. She is the daughter of leaders of the Muscogee (Creek) Nation, and was raised in Muscogee (Creek) Nation territory in Oklahoma.

Pamela J. Peters was born on October 2, 1972, in Muscogee (Creek) Nation territory in Oklahoma. She is the daughter of leaders of the Muscogee (Creek) Nation, and was raised in Muscogee (Creek) Nation territory.

Peters began her artistic career in 1990 as a sculptor, working primarily with clay and bronze. In the early 2000s she began working with digital media, creating films, music videos, and photo albums. Her work has been exhibited internationally, including at the Venice Biennale in 2009 and the Whitney Museum of American Art in New York City in 2012.

Peters is an outspoken advocate for Indigenous arts and culture. She has spoken on behalf of her people at international conferences, and has served as an adviser to the Canadian government on Indigenous arts policy. In 2014 she received the Order of Canada for her contributions to art and culture.","The Muscogee ( Creek ) Nation's daughter, Pamela J. Peters, was born in Oklahoma on October 2, 1972, and raised in the same land as her family. She is now an Indigenous multimedia artist and filmmaker who is also related to officials from the Muscovgeer (Current) Nations."
130,"Sugar Hill is a historically middle class African American community located in Jacksonville, Florida. The community is located on a hill that overlooks the St. Johns River and Downtown Jacksonville. The area was first developed as a plantation in the late 1800s, and was known as ""Sugar Hill Plantation"". The community began to develop after World War II, and by the 1970s had a population of about 5,000 people. Today, Sugar Hill is a primarily residential community with a small commercial district.

Sugar Hill is located in Jacksonville, Florida on a hill that overlooks the St. Johns River and Downtown Jacksonville. The area was first developed as a plantation in the late 1800s, and was known as ""Sugar Hill Plantation"". The community began to develop after World War II, and by the 1970s had a population of about 5,000 people. Today, Sugar Hill is a primarily residential community with a small commercial district.

The community is made up of predominately African American families who have lived there for generations. Sugar Hill is known for its strong community ties and its residents are often very active in their local churches and other organizations. The area has seen some recent development due to its location near Downtown Jacksonville and the St. Johns River, but remains primarily residential with a small commercial district.","Located in Jacksonville, Florida is Sugar Hill, an historically middle class African American village that was originally known as the Sugarloe Plantation and has a population of around 5,500."
131,"Brandon Nakashima (born August 3, 2001) is an American professional ice hockey player. He is currently playing with the Syracuse Crunch of the American Hockey League (AHL).

Nakashima was drafted by the Tampa Bay Lightning in the first round, 12th overall, of the 2018 NHL Entry Draft.","Currently playing for the Syracuse Crunch, an American professional ice hockey player, Brandon Nakashima was born on August 3, 2001. He was selected in the first round of the 2018 NHL Entry Draft and finished 12th overall."
132,"Thaumaci or Thaumacus , was a town in ancient Arcadia, in the territory of Pheneus. It was situated on the river Acheron, about two stadia from the sea-shore, and about four from the river Alpheus. Thucydides mentions it as one of the towns in which the Peloponnesian War was chiefly carried on.

Thaumaci flourished under the government of Aristodemus, who appears to have been its founder and first ruler. Its extent is not accurately known, but it seems to have been small; for Thucydides says that it contained only two hundred houses, while Pliny puts its population at seven thousand five hundred. Thucydides also mentions that there were two temples in it, one to Apollo and the other to Hermes Trismegistus.

The town was captured by Antiochus III in 188 BC, after a long siege, and was subsequently destroyed.","The city of Thaumaci, also known as Thaucus, was situated in ancient Arcadia and within Pheneus. It was located on the Acheron river, approximately two stadia away from the sea shore and four miles away by river Alpheus; according to Thucydides, it was one of the towns where the Peloponnesian War was fought and it flourished under the leadership of Aristodemus, its likely leader."
