Unnamed: 0,original text,EYK-Watermarked_And_Paraphrased
237,"Kristina från Duvemåla ( "" Kristina from Duvemåla "" ) is a Swedish novel authored by Selma Lagerlöf and first published in 1914 . The work is setting in the years 1871 - 1882 in the fictional village of Duvemåla , located in Småland County . Kristina is a seventeen - year - old girl who lives with her father , stepmother and two older sisters on their family farm . Kristina falls in love with Daniel , the son of the local pastor , but their connection is banned by her father . One night , Daniel comes to visit Kristina and they enjoy a romantic night together . Kristina ' s father discovers them together and forces Daniel to leave .Kristina ' s stepmother efforts to convince her father that Daniel is a decent kid , but he is not persuaded . One night , after a heated debate about Daniel , Kristina ' s father accidentally kills her stepmother with his shotgun . Kristina is leave alone to take care of the ranch . Kristina falls ill and spends days recuperating at her sister ' s home in Västerås . When she recovers , she goes to Duvemåla to find that her father has remarried and her new stepmother doesn ' t appreciate Kristina . Kristina starts working as a housekeeper for the local countess and begins a new affair with the count ' s son , Lennart .One winter night , while Lennart is attending Kristina at the countess ' residence , they are interrupted by","In the fictional village of Duvemla, Sweden between 1871 and 1882, Kristina is a seventeen-year-old girl who falls in love with her father, stepmother, and two older sisters. Selma Lagerlöf wrote the novel which was first published in 1914."
238,"Corcoran is a city in Kings County , California , United States . The population was 9 , 871 at the 2010 census . Corcoran is known as the "" Village of Roses "" because of the huge amount of rose gardens within the cities limits . The first post office opened in 1883 . The city was named for John G . Corcoran , a merchant and shipowner who was a partner in the firm Corcoran , Walker and Company , which was engaged in the California Gold Rush .According to the United States Census Bureau , the city has a total area of , all of it land . The 2010 United States Census reported that Corcoran had a population of 9 , 871 . The population density was 2 , 719 . 5 people per square mile ( 1 , 065 . 4 / km² ) . The racial makeup of Corcoran was 8 , 548 ( 92 . 6 % ) White , 63 ( 0 . 8 % ) African American , 187 ( 2 . 2 % ) Native American , 161 ( 1 . 9 % ) Asian , 2 ( 0 . 02 % ) Pacific Islander , 183 ( 2 . 2 % ) from other races , and 556 ( 6 . 5 % ) from two or more races . Hispanic or Latino of any race were 1 , 811 persons ( 14 . 4 % ) .The Census reported that 9 , 871 people ( 100 % of the inhabitants ) lived in households , 0 ( 0 % ) lived in non - institutionalized group quarters , and 0 ( 0 % )","In Kings County, California, the city of Corcoran is located. It had a population of 9,871 according to the 2010 census. The city is also known as the ""Village of Roses"" because it boasts numerous rose gardens within its limits. John G. Corkoran, who was involved in the California Gold Rush, founded the first post office in 1883."
239,A goldsmith banker was a businessperson who functioned as banker for goldsmiths . They might lend cash to goldsmiths to buy materials and coins to create jewelry and other objects .,"Goldsmith bankers were individuals who served as bankable advisors for goldsmiths, lending money to them for the purchase of materials and coins used in creating jewelry and other objects."
240,"David Greig was the grocery ( initially supermarket store ) chain he founded in 1966 . The corporation existed under the name David Greig Supermarkets until it was sold to the Safeway chain in 1987 . Greig ' s supermarkets were known for their large , well - organized aisles and their wide multitude of foods and drinks . The corporation also had a strong focus on customer service , with staff known for their friendliness and ability to assist .Greig ' s supermarkets were particularly popular in the Vancouver area , where they operated more than 20 stores . However , the company ' s prominence also contributed to widespread competition from other supermarket brands , notably Safeway and Metro . In 1987 , Greig ' s was sold to Safeway , which shut most of the stores that year .","In 1966, he founded the grocery store chain David Greig, which was later sold to Safeway in 1987. The supermarkets were known for their well-organized aisles and extensive selection of food and drink, as well as their friendly customer service staff."
241,"Unplugged . . . and Seated is a live compilation issued by the British rock group Led Zeppelin on 2 October 1993 . It was recorded at the Ahoy Rotterdam nightclub in Rotterdam , Netherlands on 26 September 1993 and features extended versions of several songs from the group ' s earlier album , Physical Graffiti . The album achieved number 6 on the UK Albums Chart and number 4 on the US Billboard 200 . It has been certified triple platinum by the Recording Industry Association of America ( RIAA ) .The album was remastered and reissued in 2007 with three bonus tracks : "" Thank You "" , "" No Quarter "" and "" All That I Need "" . In a contemporary review for AllMusic , reviewer Stephen Thomas Erlewine gave the record three out of five stars , highlighting its "" extended "" versions of tracks from Physical Graffiti , but noting that they do not add anything new to the material .Erlewine also considered Robert Plant ' s vocals "" unusually powerful "" given his age , but disliked John Paul Jones for sounding "" a bit too little like a sideman "" .","Led Zeppelin released a live compilation called Unplugged and Seated on 2 October 1993. The album was recorded at the Ahoy Rotterdam nightclub in Rotters, Netherlands on 26 September 1993, featuring multiple tracks from their previous album Physical Graffiti. It reached number 6 on the UK Albums Chart and number 4 on US Billboard 200, and it has been certified triple platinum by the Recording Industry Association of America (RIAA)."
242,"The genera Dendragapus includes two closely related species , the common dendragapus and the spectacled dendragapus . The common dendragapus is the more widespread of the two , and is found in a broad variety of habitats namely rainforests , montane forests , and shrublands . The spectacled dendragapus is found in montane forests and is known for its unique spotted skin pattern . Both species are herbivores that feed on a variety of plant varieties .","Two closely related species, the common dendragapus and the spectacled diergagapus, make up the Dendrapaurus genera. The commondendapse is more widespread and can be found in a variety of habitats, including rainforests for both living and breeding populations; while the famous spectacledarphase (Dendratus angustifolius) is found only in forests with its distinctive spotted-skinned appearance. Both are herbivorous and feed on various plant diversity from different types that differ between them."
243,"Halima ' s Path is 2012 Bosnian - Croatian - Slovenian drama film directed by Emir Kusturica . It is based on the novel of the same name by Goran Kovačević . The film tells the story of a Muslim woman ( Halima ) who leaves her home in Sarajevo to travel to Sweden to find a better life for her daughters . She soon realizes that the challenges she faced in Bosnia were nothing compared to what she will face in a foreign country .Halima ' s Path is a stories of hope , resilience , and eventually , the power of family .","Halima, a drama film released in 2012 by Emir Kusturica and directed by Kofi Anna Svetlanska, is based on the novel of same name by Goran Kovaevi. The movie tells the story of an exiled Muslim woman who travels to Sweden to try her hand at building her daughters' lives while living in Bosnia, but finds that the challenges she faced were minor."
244,"Molly Erdman ( born 1974 ) is an American artist and musician . Erdman ' s practice focuses on drew on a broad variety of media , including sculpture , painting , performance , cinema , and installation . Her work has been displayed internationally and is held in countless public and private collections . Molly Erdman was born in 1974 in New York City . Erdman ' s early childhood was spent living in different areas of the United States before her parents moved in California when she was 11 years old . Erdman graduated from the University of California , Santa Cruz with a BFA in painting in 1998 .Erdman ' s practice focuses on drew on a broad variety of media , including sculpture , painting , performance , cinema , and installation . Her work has been displayed internationally and is held in countless public and private collections . Recent shows include "" The Mind ' s Eye : Art from the UCSD Biomedical Imaging Research Center "" at The Getty Research Institute ( Los Angeles , CA ) , "" The Third Place : Contemporary Art from China "" at The Museum of Modern Art ( New York , NY ) , "" Sensation : Painting from the 21st Century "" at the Guggenheim Museum ( New York , NY ) , "" Inside / Outside : American Painting Since 1970 "" at the Philadelphia Museum of Art ( Philadelphia , PA ) , "" An Atlas of Possibilities : Recent Sculpture from the Hirshhorn Museum and Sculpture Garden "" at the Smithsonian American Art Museum ( Washington D . C . ) , and "" Shape - Shifting : The Body In Contemporary Art ""","Molly Erdman, an American artist and musician born in New York City in 1974, has a varied artistic style that includes sculpture, painting, performance, cinema, and installation. Her pieces have been showcased internationally and are held in numerous public and private collections throughout the country. She was raised in various parts of the United States until her parents moved to California at the age of 11, where she attended art school and graduated from Montrose High School after working as an artist."
245,"Stirling Lines is a British Army garrison situated in the Falkland Islands . The garrison is home to around 1 , 500 army soldiers , as well as civilian employees . The garrison was first erected in 1764 as a small military post on the southern coast of South Georgia , and was known as South Georgia Barracks . In 1820 it was renamed Stirling Lines after General Charles Edward Stirling , who had fought in the Napoleonic Wars .The garrison played an important role in the Falklands War of 1982 , serving as the main British base on the islands . The garrison was severely destroyed during the conflict , and has since been repaired .","A British Army garrison called Stirling Lines is located in the Falkland Islands. It has a workforce of approximately 1,500 army soldiers and civilian employees. The garp was originally known as South Georgia Barracks until it was renamed in 1820 after General Charles Edward Stirl, who fought in both the Napoleonic Wars and played starring roles in World War I and II."
246,"Volodymyr Polishchuk is a retired Soviet and Ukrainian professional ice hockey player . Polishchuk competed in the Soviet Second League for HC Lada Togliatti , HC Krylia Sovetov Samara , and HC Sochi . He also played in the Ukrainian Superleague for HC Karpaty Lviv , HC Dnipro Dnipropetrovsk , and Tavriya Simferopol .He finished his career with HC Sochi.","Former professional ice hockey players, Volodymyr Polishchuk, played for the Soviet Second League, Ukrainian Superleague, and Czech National Hockey League."
247,"Želivského is a station on Line A of the Prague Metro . The station was opened on 5 December 1984 . The station was built by renowned Czech architect Václav Havel . It is situated in the Rudolfinum cultural complex , just east of the main square of Prague Castle .The station is named after the Želivský Palác , an art palace constructed in the 19th century for Emperor Franz Joseph I of Austria .","Located in the Rudolfinum cultural complex, just east of Prague Castle, is the elivského station, which opened on Line A of the Prague Metro on 5 December 1984. It was designed by renowned Czech architect Václav Havel and named after the ancient 19th-century art palace built for Emperor Franz Joseph I of Austria."
248,"Dog Man Star is the second released by American rock group the Darkness , released in 1982 . The Darkness emerged from the ashes of the pioneering Detroit heavy metal group Death , founded by guitarist and songwriter Rob Halford . The Darkness had a fairly successful career in the early 1980s ; their self - titled first album charted at number 73 on the Billboard 200 chart , and generated the hit song "" I Want Out "" . However , after subsequent recordings failed to achieve the same level of success , the Darkness disbanded in 1986 .Five years later , in 1991 , Halford reorganized the group with new members and recorded Dog Man Star . The album was well viewed by reviewers and fans alike and generated two more charting singles in "" Love Is Only a Dream "" and "" I Believe in a Thing Called Love "" . In 2001 , Dog Man Star was certified silver by the RIAA for sales of over 500 , 000 copies in the US .","The Darkness, an American rock band, released their second album, Dog Man Star, in 1982. They had previously been inspired by the Detroit heavy metal group Death, which was founded by Rob Halford. Their debut album reached number 73 on the Billboard 200 chart and sold millions in the early 1980s, followed by Voodoo Records' cover of ""I Want Out"". However, they were forced to disband later after subsequent recordings failed to achieve the same level of success as earlier versions."
249,"Hedjkheperre Setepenre Shoshenq IV was an ancient Egyptian pharaoh of the Twenty - first Dynasty . He ruling from 945 BC to 925 BC . Shoshenq IV was the son of Hedjkheperre Setepenre and his wife Tiy - Merenese . He was the successor of his father , who likely died during the fight against the Libyans in 945 BC . According to a stela from Abydos , Shoshenq IV was buried in a mausoleum near the pyramid of Menkaure , and he was succeeded by his grandson , Takelot I .Shoshenq IV is most noted for his Great Inscription , which notes the Donation of the Index of Thoth and other monuments from Karnak . The inscription says : "" Year 5 , 3rd month of Shoshenq III , week 22 , "" The famous king , Shoshenq III , beloved of Ra , given life , triumphant in combat - he maintains for all time a monument to himself in the sacred temple of Amun at Karnak . ""Also notable is his papyri collection , now in the British Museum .","The pharaoh king of the Twenty-first Dynasty, Hedjkheperre Setepenre Shoshenq IV, reigned from 945 BC to 925 BC. He was born to Hederre and his wife Tiy - Merenese. His father passed away in battle against the Libyans in 915 BC, but his remains are believed to have perished as per a stela from Abydos on the same day."
250,"Patty Loveless ( born Patricia Lee Ramey ; January 3 , 1945 ) is an American singer and songwriter . She has been important in the country music genre and has sell over 25 million records . Loveless was born in Birmingham , Alabama , United States , to a working class household . After her parents widowed , she and her sister were raised by their parents . Loveless began playing as a kid , performing at local parishes and functions with her parents ' s gospel group . In 1964 , she relocated to Nashville to pursue a career in music .Loveless initially gained prominence as a backing vocalist for artists such as Willie Nelson and Waylon Jennings . Her first album , "" Patty Loveless "" , was released in 1971 and was a commercial success . She followed up the album with several more successful releases over the next few years . In 1975 , she scored her first hit single with the song "" I Will Always Love You "" . The song became a number one hit on the country charts and helped Loveless achieve international success . She has since released several more successful albums and has continued to tour throughout the world . Loveless has received several awards and accolades throughout her career , including two Grammy Awards and an Academy Award nomination for her song "" I Will Always Love You "" .She is also a member of the Grand Ole Opry .","Patricia Lee Ramey, also known as Loveless, is an American singer and songwriter who has been influential in the country music scene for her over 25 million record sales. She was born to a working-class family in Birmingham, Alabama, where she and her sister were raised by their parents. They started playing music at home as children, attending church services and performing with her parents' gospel group before moving to New York in 1964."
251,"Laxmi Narayan Singh ( 16 October 1944 - 5 October 2004 ) , popularly known as Lachhu Maharaj or simply Lachhu , was a renowned Indian musician , singer and composer . He was best known for his virtuoso on the harmonium and for his renditions of devotional songs . Lachhu was born in 1944 in a Hindu family in Rajasthan . He started learning music from his father , who was also a Harmonium player . In the early 1970s , he moved to Bombay to pursue a music career . He worked as a Harmonium player with several classical and popular Indian bands , before starting his own band , Lachhu Maharaj Express , in the late 1980s . The band enjoyed commercial success and toured extensively throughout India and overseas .Lachhu Maharaj passed away on 5 October 2004 after a lengthy war with cancer .","The musician, singer, and composer Laxmi Narayan Singh (Lachhu Maharaj) was born in Rajasthan in 1944 to a Hindu family and became known for his virtuoso harmonium playing and devotional songs. He gained popularity in the 1970s and is considered one of India's most accomplished musicians and vocalists."
252,"The Bendidia was an archaic Athenian festival in honour of Bendis , the goddess of fortune . celebrants would dip an olive into the sea and carry it to the Acropolis , where they would place it on a statue of Bendis . The celebration was held on the first or second day of the month Thargelion . The Bendidia was an archaic Athenian festival in honour of Bendis , the goddess of wealth . celebrants would dip an olive into the sea and carry it to the Acropolis , where they would place it on a statue of Bendis .The festival was held on the first or second day of the month Thargelion .","An ancient festival in Athenian tradition called the Bendidia was held to honour the goddess of wealth, Bendis. On the first or second day of Thargelion, people would dip an olive into the sea and carry it to the Acropolis, where they would place it on a statue of Bendus."
253,"Moovalur Ramamirtham ( 1883 – 1962 ) was a Tamil scholar and writer from Tamil Nadu , India . He was a noted philologist and author of Tamil poetry . Moovalur Ramamirtham was born on 1883 in Moovalur , a village in Tiruchirappalli county , then in the Madras Presidency ( now in Tamil Nadu , India ) . He received his early education at a local school and later studied at Madras University where he obtained his Bachelor of Arts degree in 1907 . He then returned to England to pursue his education at the universities of Oxford and Cambridge where he obtained his Master of Arts degree in 1910 and Doctor of Philosophy degree in 1913 , respectively .Returning to India , Ramamirtham began teaching at the Government Arts College , Tiruchirappalli . In 1916 , he was appointed professor of Tamil at the University of Madras where he remained until his retirement in 1956 . He was also a visiting professor at universities in Australia , Canada , Europe and North America during this time . Ramamirtham ' s early writings were on Tamil grammar and literature . However , it was his magnum opus , the twelve - volume Tamil Lexicon ( 1927 – 1957 ) , that made him internationally known . This work is considered the most comprehensive dictionary of the Tamil language ever written . He also wrote several books on classical Tamil poetry and literary theory .Ramamirtham died on 3 February 1962 at the age of 80 years . He was accorded a government funeral and was buried at","Moovalur Ramamirtham, a prominent Tamil scholar and writer, was born in 1883 in Rooster village in Tiruchirappalli county, Tamil Nadu, India. He is also known for his contributions to literature and philosophy."
254,"Thiania is a genera of jumping spiders found in the Near East . It contains six species , all of which are small and have a unique pattern on their abdomen . The genera was first described by Carl Ludwig Koch in 1842 .","Carl Ludwig Koch first described Thiania, a group of six small spider species that are known for their distinctive patterns on the abdomen. This genera is made up of these creatures and can be found in various regions of the Near East."
255,A philatelic cover is an envelope prepared for the mailing of philatelic material . It is usually made of dense paper and has a stiff flap that is attached to the front cover . The flap is designed to shield the philatelic material inside from being damaged in transit .,An envelope that is made of heavy paper and has a hard casing attached to the front cover for protection against philatelic material during transit.
256,"Friedrich Wilhelm Kuhnert ( September 18 , 1865 – September 16 , 1926 ) was a German - born American chemist who is best known for his work in the development of physical chemistry . Kuhnert was born in Cassel , Province of Westphalia , Germany , on September 18 , 1865 . He received his AB from the University of Berlin in 1889 and his Doctor of Science degree from the University of Berlin in 1893 . Kuhnert then worked at the University of Heidelberg as an assistant professor of chemistry until 1902 . In 1902 he emigrated to the United States and became a professor of chemistry at the University of Illinois . Kuhnert served as president of the American Chemical Society ( 1912 - 1913 ) and was awarded the Nobel Prize in Chemistry in 1922 "" for his work on physical chemistry . ""Kuhnert died on September 16, 1926.","Friedrich Wilhelm Kuhnert, an American chemist who was born in Germany and raised in Cassel, gained recognition for his contributions to the field of physical chemistry."
257,Pennsylvania Route 3 ( PA 3 ) is a state road in the U . S . state of Pennsylvania . The roadway runs from US Route 219 in Lewisburg west to US Route 11 near Reading . PA 3 is a narrow two - lane highway that passes through rural regions of the state . The route has two concurrencies with PA 61 in Lewisburg and Bedford and a brief overlap with PA 127 near Mansfield . PA 3 was designated in 1928 to run from US Route 611 ( now US Route 220 ) in Mount Pleasant west to US Route 11 near Reading . The route was extended west to Lewisburg in 1930 and west to Mansfield in 1951 . The western terminus was moved to its current site in Lewisburg in 1962 . PA 3 was realigned along Main Street from Lewisburg to Mansfield in the early 1990s .The roadway was rerouted along County Road 218 between Lewisburg and Bedford in 2006 .,US Route 3 (Pathway 3) is a two-lane highway that runs from Lewisburg to Reading and has parallel routes with PA 61 in Bedford and PA 215 in Mansfield. It was designated as the route's starting point in 1928 and it travels across rural areas of Pennsylvania.
258,"Hazard ' s Pavilion was a large auditorium in the center of London that was used for public displays , concerts and other events . It was built by architect Richard Norman Shaw and built between 1884 and 1887 . The structure was frequently used for large - scale classical music concerts , and its acoustics were deemed very perfect . The auditorium was damaged in a fire on 10 December 1936 , which wrecked most of the interior . It was later reconstructed and reopened in 1938 .The structure closed in 1979 and was demolished in 1984 .","Designed by Richard Norman Shaw, Hazard's Pavilion was a large auditorium built in central London between 1884 and 1887 that was frequently used for public displays, concerts, and classical music concerts. It suffered significant damage from avalanche and fire during its construction until 1938, when it was completely reopened."
259,"John Henry Walker ( 1831 – 1899 ) , a pioneer Canadian journalist , editor and editor , was born in London , England on November 26 , 1831 . He came to Canada in 1851 and worked as a printer in Toronto until he established his own publishing house , the John Henry Walker Publishing Company , in 1865 . Walker was one of the first Canadians to publish books on Canadian history and ethnography , as well as novels and poetry . He also worked as the publisher of the Toronto Globe and Mail from 1875 to 1885 . Walker died in Toronto on March 10 , 1899 .","Having been born in London, England on November 26, 1831, John Henry Walker was one of the first Canadians to publish books on Canadian history, ethnography, novels, and poetry. He also served as the publisher of The Toronto Globe and Mail from 1875 to 1899 and later moved to Canada in 1851 to work as a printer."
260,"Tallgrass Beef Company is a Kansas - based meat producer . The corporation was founded in 1997 by brothers Craig and Woody Tallgrass . Tallgrass is a third - generation cattle producer , and is the largest meat manufacturer in Kansas . Tallgrass Beef Company operates two livestock ranches in Johnson and Wyandotte counties , Kansas . The corporation produces grass - fed beef , which it sells under the Tallgrass brand title . The corporation also sells beef goods to foodservice distributors , stores , and foodservice operators .The Tallgrass Beef Company was founded in 1997 by Craig and Woody Tallgrass . The sons are fifth - generation cattle producers , and are the largest meat manufacturer in Kansas . The corporation maintains two livestock ranches in Johnson and Wyandotte counties , Kansas . The corporation produces grass - fed beef , which it sells under the Tallgrass brand title . The corporation also sells beef goods to foodservice distributors , stores , and foodservice operators .","In 1997, Craig and Woody Tallgrass founded Tall grass Beef Company, a meat producer in Kansas. They are the largest meat manufacturer in the state as they operate two livestock ranches in Johnson and Wyandotte counties. The company produces grass-fed beef that is sold under the TallGrass brand title. Additionally, their beef products are sold to foodservice distributors, stores, and food service operators."
261,"Jeff LeBlanc ( born February 9 , 1986 ) is a Canadian professional ice hockey centre . He is currently playing with the Toronto Maple Leafs of the National Hockey League ( NHL ) . LeBlanc was drafted by the Boston Bruins in the first round , 25th overall , of the 2004 NHL Entry Draft . After four seasons with the Bruins and two with the Vancouver Canucks , he joined the Toronto Maple Leafs in a trade on July 1 , 2009 . He has played in the NHL for six seasons , scoring 104 goals and 183 points .LeBlanc was born in Saint John , New Brunswick . He is married to Kelly LeBlanc and has two kids .",Canadian ice hockey centre Jeff LeBlanc plays for the Toronto Maple Leafs in the National Hockey League (NHL). He was selected in Round 1 of the 2004 NHL Entry Draft and played for Canada from February 9th to June 6th.
262,"Petty Enterprises ( formerly Lee Petty Engineering ) was a professional racing team that was active in NASCAR from 1971 to 1986 . The team was founded by NASCAR Hall of Famer Lee Petty and his son Richard Petty . The Petty Enterprises team was one of the most successful teams in NASCAR history , with eighteen driver ' s championships and over two hundred wins . The team was also notable for its rivalry with Richard Petty ' s brother Bobby and their teams ' close competition with each other .The Petty Enterprises crew ceased activities following the 1986 season , though Lee Petty remained remained involved in NASCAR as a senior advisor .","A professional racing team known as Lee Petty Engineering was founded by Lee and his son Richard. They competed in NASCAR from 1971 to 1986, winning over twenty-five championships and eighteen driver's titles. The team also had a rivalry with Bobby and other close competitors."
263,"Arthur James McLarney ( December 20 , 1908 – March 31 , 1992 ) was an American artist , sculptor , and printmaker . Born in San Francisco , McLarney studied at the California School of Fine Arts from 1928 to 1932 and at the Yale School of Art from 1932 to 1934 . He then moved to New York City , where he becoming associated with the artist group referred as the "" Alleghenies "" .He participated in the 1942 Whitney Museum of American Art display , and his art is in the collections of the Museum of Modern Art , the Smithsonian Institution , and other leading institutions .","Arthur James McLarney, an American artist, sculptor, and printmaker, was born in San Francisco. He attended the California School of Fine Arts from 1928 to 1932, then the Yale School Of Art from 1934 to 1949 before moving to New York City and joining the "" Alleghenies"" artist group. His art is featured in the 1942 Whitney Museum of American Art exhibit, while his artwork is also on display at the Van Buren Sammlungssammlung."
264,"Mark Gregor Strang Donaldson , ( born 2 February 1959 ) is a Scottish former international cricketer . He played first - class cricket for Somerset and England , and Twenty20 cricket for the Mumbai Indians . Donaldson was born in Edinburgh and attended George Watson ' s College in Edinburgh , where he played rugby union for the College 1st XV . He made his first - class debut for Somerset against Cambridge University in 1977 . He played for Somerset until 1988 , and also played for Northamptonshire ( 1989 – 1990 ) , Worcestershire ( 1991 ) , Middlesex ( 1992 ) , and Gloucestershire ( 1993 ) . He then moved to England to play for Middlesex ( 1994 – 1998 ) , Worcestershire ( 1999 – 2000 ) , and Hampshire ( 2001 ) . Donaldson then moved to India to play Twenty20 cricket with the Mumbai Indians ( 2002 – 2004 ) . He retired from professional cricket at the end of the 2004 season . Donaldson has also played club cricket in Scotland , England , and India .Donaldson was a member of the England team that won the 1991 Cricket World Cup . In 1993 , he was selected in Wisden Cricketers ' Almanack ' s list of the world ' s top twenty cricketers . He has additionally been selected as one of Wisden ' s five cricketers of the month . Donaldson was given an OBE in 2002 for his services to cricket .","Born on February 2, 1959, Mark Gregor Strang Donaldson is a former international cricketer hailing from Scotland. He played for Somerset and England in first-class cricket and the Mumbai Indians in Twenty20 cricket. His college background included playing rugby union for the College 1st XV."
265,"Developmental psychology is the science study of the psychological growth of individuals from birth to adulthood . It covers a range of themes , including infancy , childhood , adolescence , and adulthood . Development is a process that starts at conception and continues until the person enters maturity . Developmental psychologists research how various experiences influence an individual ' s mental growth . They use a variety of research methods , including surveys , interviews , and lab experiments .The field of developmental psychology is growing steadily . New study is being published every week , and the field is attracting new practitioners who are exploring new ways to comprehend human growth . The scope of developmental psychology is vast , and it gives insights into everything from how children learn to think and feel to the beginnings of psychological disorders .","Research in developmental psychology involves the study of how people develop psychologically from conception to adulthood, encompassing themes of development from infancy to maturity. Researchers use a range of research methods such as surveys, interviews, and lab experiments to explore this process."
266,"The Kansas City Ballet ( KCB ) is an American ballet company based in Kansas City , Missouri . The KCB was founded in 1948 by Margot Fonteyn and Royal Ballet choreographer Antony Tudor . The Kansas City Ballet is one of the earliest ballet companies in the United States and has a lengthy and illustrious tradition . The KCB has performed at the Kennedy Center , Royal Albert Hall , and other prestigious venues around the world . The company has also produced many renowned ballets , notably Nutcracker , The Sleeping Beauty , Swan Lake , Giselle , and Don Quixote .Today , the KCB remains to produce seriously acclaimed ballets and tours throughout the United States . The company is also committed to educating young dancers and has established a number of outreach projects , notably the Margot Fonteyn Scholarship program and the Antony Tudor Scholarship program .","The Kansas City Ballet, founded in 1948 by Margot Fonteyn and Royal Ballet choreographer Antony Tudor, is a well-known ballet company in the United States. It has performed at various prestigious venues worldwide, including Carnegie Hall, New York's Kennedy Center, and many other locations."
267,"Gerald David "" Lorenzo "" Music ( May 2 , 1937 – December 5 , 1993 ) was an American jazz and soul bassist , composer and bandleader . He was a major influence on funk and jazz fusion bassists , most notably Jaco Pastorius . Born in New Orleans , Louisiana , Music began playing bass at an early age . He first became well known as a session musician , playing on recordings by B . B . King , Fats Domino , Floyd Cramer and others . He formed his own band in the early 1970s and achieved mainstream success with the album Lorenzo ' s Music in 1976 . He continued to record and tour throughout the 1980s and 1990s , often collaborating with Maceo Parker .He died of a heart attack at the age of 57 .","Known for his work as a session musician and contributions to popular music, Lorenzo Music (born May 2, 1937, in New Orleans, Louisiana) had an impact on the world of jazz and soul bass. He was also known for playing drums and clubs with artists such as Jaco Pastorius."
268,"The Kerala killings ( no connection to the Indian country of Kerala ) refers to a string of shootings and bombings in the Indian country of Kerala that occurred from July 24 to August 8 , 2017 . The attacks left at least Nedumkandam Kunchacko ( 42 ) , Poonjar Aravindan ( 39 ) , and Mohammed Nisham ( 30 ) dead , and many others wounded . The assaults were carried out by Islamist insurgents aligned with the Islamic State of Iraq and the Levant with the purpose of creating an Islamic caliphate in India .As of October 2017 , 31 persons have been detained in connection with the conspiracy .","The Kerala killings, which took place from July 24 to August 8, 2017, were a series of shootings and bombings carried out by Islamist insurgents affiliated with the Islamic State of Iraq and the Levant."
269,"Ra Meliga , sometimes called as Melaga or Melega , is a genera of flowering plants in the legume family , Fabaceae . The genera is distributed in tropical and subtropical areas of the world , with most species occurring in Africa . The best - recognized member is the Melaga imperialis , a tree that grows to a height of up to 30 m and produces a tough wood .The genera contains about 60 species , separated into two subgenera . The subgenus Melaga comprises the species with an edible pod , while the subgenus Melega contains those without a pod .","The Ra Meliga, or Melega, is a group of legumes that grow in tropical and subtropical regions. Most of the genera are found on African soil. The Melaga imperialis is the most well-known, with an annual height of up to 30 m and the ability to produce tough wood."
270,"Waterford city is situated in south eastern Ireland on the River Suir . The city was founded by the Vikings in 853 AD and was originally known as "" Weardaforda "" . The name Waterford is derived from "" Waer "" ( meaning tidal river ) and "" ford "" ( meaning a ford or crossing over ) . Waterford has a rich history , dating back to the early Viking period . The city was founded by the Vikings in 853 AD and was originally known as "" Weardaforda "" . The name Waterford is derived from "" Waer "" ( meaning tidal river ) and "" ford "" ( meaning a ford or crossing over ) . During the medieval period , Waterford was a major trade centre , and it became an important port city during the 16th century . The city played an important role in the Irish revolutionary movement , and it was here that the first Easter insurrection was planned .Waterford ' s economy is based on tourism , trade , production , and farmers . The city is home to several institutions , notably Waterford Institute of Technology and Trinity College Dublin . Waterford is also known for its traditional music and dance , notably the Irish jig and the ceili .","The city of Waterford, situated on the banks of the River Suir in south eastern Ireland, was founded by the Vikings in 853 AD and originally known as ""Weardaford""; the name is derived from Waer (meaning tidal river) and ford (passing over). It has a long and rich history, dating back to the early Viking period."
271,"Ultratumbita ( real name unrevealed ) is a Mexican singer and songwriter who was born on July 26 , 1984 . She is known for her eclectic mix of pop , rock , and electronic music . Ultratumbita was born in Mexico City on July 26 , 1984 . From an early age , she showed an interest in music . She began her career as a singer and songwriter in 2006 , releasing her first album the following year . She has since released several more albums , as well as singles and EPs . Her music is eclectic and incorporates elements of pop , rock , and electronic music . Ultratumbita has performed throughout Mexico and Latin America , as well as in Spain , Italy , Portugal , Germany , Switzerland , Belgium , Croatia , and the United States .She has additionally appeared on television shows and festivals around the world .","Born in Mexico City on July 26, 1984, the unrevealed Mexican singer-songwriter is known for her eclectic mix of pop, rock, and electronic music. She started pursuing music from an early age and released her first album in 2006. Since then, she has released several albums and singles over the years."
272,""" Starless "" is a composition by English progressive rock group Yes . It was released as the second single from their seventh studio album , "" Drama "" ( 1970 ) . The track is composed in the key of A minor and features a heavy keyboard riff and time - shifts .Lyrically , it speaks of a man who has lost his love to war .","The second single from Yes's seventh studio album, "" Drama"" (70), features the English progressive rock band ""Starless"" in the key of A minor, a heavy keyboard riff and time-shifting rhythm. It also speaks to the loss of love caused by war on the song'S lyrics."
273,"The caper story is a subgenre of the detective story . It often includes a robbery , a crime , and the efforts of the cops to solve the criminal . The early capers were straightforward thefts , but as the genre developed , they grew more complex . Some modern capers include extensive planning and a high degree of execution .They are often praised as some of the most suspenseful narratives in all novel .","The caper genre is a variation on the detective story, featuring various elements such as theft, crime, and law enforcement. It evolved from its original purpose to encompass more intricate thefts. However, some modern capers have been recognized for their suspenseful storytelling and meticulous planning."
